game_id,game_url,end_time_utc,rated,time_class,time_control,base_secs,inc_secs,kind,rules,your_side,your_rating,your_result_detail,your_result,opponent_username,opponent_rating,eco,opening_name,termination,moves_count,accuracy_white,accuracy_black
3f905b34-cc14-11ec-b84c-78ac4409ff3c,https://www.chess.com/game/live/45453609015,2022-05-05T01:43:26+00:00,True,rapid,600,,,unknown,chess,white,1311,abandoned,L,TheMeteu,1303,A45,,TheMeteu won - game abandoned,22,,
73a0c204-cca8-11ec-b551-78ac4409ff3c,https://www.chess.com/game/live/45517344345,2022-05-05T19:30:46+00:00,True,rapid,600,,,unknown,chess,black,1319,win,W,yakzan81,1283,D00,,Sanjaykshetri123 won by checkmate,30,,
4eee89d2-cce7-11ec-b551-78ac4409ff3c,https://www.chess.com/game/live/45544295723,2022-05-06T02:52:19+00:00,True,rapid,600,,,unknown,chess,black,1326,win,W,asteshihi,1264,C50,,Sanjaykshetri123 won by resignation,8,,
99adab79-cce7-11ec-b551-78ac4409ff3c,https://www.chess.com/game/live/45544314307,2022-05-06T03:04:13+00:00,True,rapid,600,,,unknown,chess,white,1319,checkmated,L,bispomau82,1374,A40,,bispomau82 won by checkmate,34,,
38972b25-cce9-11ec-b551-78ac4409ff3c,https://www.chess.com/game/live/45545439439,2022-05-06T03:17:17+00:00,True,rapid,600,,,unknown,chess,white,1310,timeout,L,kyou4,1292,A40,,kyou4 won on time,31,,
12462349-cceb-11ec-b551-78ac4409ff3c,https://www.chess.com/game/live/45546068321,2022-05-06T03:29:15+00:00,True,rapid,600,,,unknown,chess,black,1318,win,W,lupian411,1306,C60,,Sanjaykshetri123 won by resignation,31,,
c34aa624-ccec-11ec-b551-78ac4409ff3c,https://www.chess.com/game/live/45546685713,2022-05-06T03:47:52+00:00,True,rapid,600,,,unknown,chess,white,1327,win,W,Veleci1,1375,D00,,Sanjaykshetri123 won on time,36,,
52cba39c-ccef-11ec-b551-78ac4409ff3c,https://www.chess.com/game/live/45547870585,2022-05-06T03:58:21+00:00,True,rapid,600,,,unknown,chess,white,1335,win,W,PlayAndrex,1326,D00,,Sanjaykshetri123 won by resignation,33,,
caa549fd-ccf0-11ec-b551-78ac4409ff3c,https://www.chess.com/game/live/45548474913,2022-05-06T04:09:58+00:00,True,rapid,600,,,unknown,chess,black,1327,abandoned,L,itistoohottoday,1343,D00,,itistoohottoday won - game abandoned,47,,
d07dc877-cd4e-11ec-b986-78ac4409ff3c,https://www.chess.com/game/live/45588692743,2022-05-06T15:20:04+00:00,True,rapid,600,,,unknown,chess,black,1319,checkmated,L,Baba0717,1334,A01,,Baba0717 won by checkmate,30,,
0303efb7-cd50-11ec-b986-78ac4409ff3c,https://www.chess.com/game/live/45589270399,2022-05-06T15:27:04+00:00,True,rapid,600,,,unknown,chess,black,1310,resigned,L,rhage56,1283,C37,,rhage56 won by resignation,22,,
fc3370a5-cd50-11ec-b986-78ac4409ff3c,https://www.chess.com/game/live/45589822525,2022-05-06T15:44:35+00:00,True,rapid,600,,,unknown,chess,white,1303,timeout,L,Liongwi,1340,D00,,Liongwi won on time,20,,
71491fb7-cd53-11ec-b986-78ac4409ff3c,https://www.chess.com/game/live/45590984041,2022-05-06T15:50:04+00:00,True,rapid,600,,,unknown,chess,white,1294,abandoned,L,walterwhite1959,1286,D00,,walterwhite1959 won - game abandoned,6,,
3faf04d2-cd8d-11ec-b986-78ac4409ff3c,https://www.chess.com/game/live/45615616841,2022-05-06T22:55:25+00:00,True,rapid,600,,,unknown,chess,white,1284,checkmated,L,Knightisking123,1235,D00,,Knightisking123 won by checkmate,60,,
9f082106-cd8f-11ec-b986-78ac4409ff3c,https://www.chess.com/game/live/45616781111,2022-05-06T22:59:53+00:00,True,rapid,600,,,unknown,chess,black,1292,win,W,saaglo72,1260,C50,,Sanjaykshetri123 won - game abandoned,17,,
